date,truck_num,weight
2020-01-03,truck0,200
2020-01-03,truck0,255
2020-01-03,truck0,385
2020-01-03,truck0,430
2020-01-03,truck0,590
2020-01-03,truck0,340
2020-01-03,truck0,185
2020-01-03,truck0,145
2020-01-03,truck0,520
2020-01-03,truck0,315
2020-01-03,truck0,250
2020-01-03,truck0,485
2020-01-03,truck0,190
2020-01-03,truck0,195
2020-01-03,truck0,300
2020-01-03,truck0,350
2020-01-03,truck0,240
2020-01-03,truck0,160
2020-01-03,truck0,125
2020-01-03,truck0,250
2020-01-03,truck0,225
2020-01-03,truck0,215
2020-01-03,truck0,165
2020-01-03,truck0,460
2020-01-03,truck0,440
2020-01-03,truck0,90
2020-01-03,truck0,245
2020-01-03,truck0,430
2020-01-03,truck0,90
2020-01-03,truck0,450
2020-01-03,truck0,100
2020-01-03,truck0,430
2020-01-03,truck0,115
2020-01-03,truck0,385
2020-01-03,truck0,210
2020-01-03,truck0,210
2020-01-03,truck0,65
2020-01-03,truck0,115
2020-01-03,truck0,20
2020-01-03,truck0,35
2020-01-03,truck0,235
2020-01-03,truck0,340
2020-01-03,truck0,185
2020-01-03,truck0,255
2020-01-03,truck0,225
2020-01-03,truck0,310
2020-01-03,truck0,365
2020-01-03,truck0,340
2020-01-03,truck0,545
2020-01-03,truck0,745
2020-01-03,truck0,785
2020-01-03,truck0,385
2020-01-03,truck0,425
2020-01-03,truck0,500
2020-01-03,truck0,485
2020-01-03,truck0,220
2020-01-03,truck0,350
2020-01-03,truck0,365
2020-01-03,truck0,360
2020-01-03,truck0,465
2020-01-03,truck0,325
2020-01-03,truck0,270
2020-01-03,truck0,455
2020-01-03,truck0,225
2020-01-03,truck0,240
2020-01-03,truck0,310
2020-01-03,truck0,335
2020-01-03,truck0,205
2020-01-03,truck0,360
2020-01-03,truck0,415
2020-01-03,truck0,515
2020-01-03,truck1,2520
2020-01-03,truck1,2550
2020-01-03,truck1,1815
2020-01-03,truck1,2510
2020-01-03,truck1,465
2020-01-03,truck1,2355
2020-01-03,truck1,270
2020-01-03,truck1,330
2020-01-03,truck1,355
2020-01-03,truck1,190
2020-01-03,truck1,425
2020-01-03,truck1,450
2020-01-03,truck1,400
2020-01-03,truck1,190
2020-01-03,truck1,455
2020-01-03,truck1,150
2020-01-03,truck1,335
2020-01-03,truck1,200
2020-01-03,truck1,995
2020-01-03,truck1,145
2020-01-03,truck1,110
2020-01-03,truck1,305
2020-01-03,truck1,360
2020-01-03,truck1,385
2020-01-03,truck1,225
2020-01-03,truck1,330
2020-01-03,truck1,225
2020-01-03,truck1,380
2020-01-03,truck1,315
2020-01-03,truck1,230
2020-01-03,truck1,430
2020-01-03,truck1,475
2020-01-03,truck1,330
2020-01-03,truck1,455
2020-01-03,truck1,350
2020-01-03,truck1,230
2020-01-03,truck1,255
2020-01-03,truck1,325
2020-01-03,truck1,210
2020-01-03,truck1,390
2020-01-03,truck1,260
2020-01-03,truck1,270
2020-01-03,truck1,385
2020-01-03,truck1,220
2020-01-03,truck1,350
2020-01-03,truck1,420
2020-01-03,truck1,250
2020-01-03,truck1,195
2020-01-03,truck1,390
2020-01-03,truck1,190
2020-01-03,truck1,350
2020-01-03,truck1,355
2020-01-03,truck1,310
2020-01-03,truck1,365
2020-01-03,truck1,245
